item_id,model,n_truth,n_reported,parsed,matched,binding_ok,matched_by,error
or_blue_hexagon__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,2,position,
or_yellow_triangle__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,3,position,
control_nohistory_choice_01__or_yellow_hexagon,llama3.2-vision:11b,4,8,True,4,1,position,
or_purple_star__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,0,position,
or_yellow_star__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,5,position,
or_purple_square__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,2,position,
or_green_hexagon__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,6,position,
or_red_square__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,3,position,
or_blue_square__other-color__role-imposter,llama3.2-vision:11b,8,4,True,4,0,reading_order,
or_green_star__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,5,position,
or_blue_hexagon__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,2,position,
or_green_circle__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,3,position,
or_red_star__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,3,position,
or_purple_hexagon__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,2,position,
or_blue_square__other-shape__role-imposter,llama3.2-vision:11b,8,4,True,4,0,reading_order,
or_yellow_triangle__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,2,position,
or_purple_triangle__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,1,position,
or_purple_circle__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,6,position,
or_purple_hexagon__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,2,position,
control_nohistory_choice_05__or_purple_hexagon,llama3.2-vision:11b,4,6,True,4,2,position,
or_green_hexagon__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,6,position,
or_yellow_star__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,5,position,
control_nohistory_choice_07__or_green_triangle,llama3.2-vision:11b,4,8,True,4,2,position,
control_nohistory_choice_02__or_green_star,llama3.2-vision:11b,4,8,True,4,2,position,
or_blue_star__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,2,position,
or_green_star__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,5,position,
or_yellow_circle__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,4,position,
